Symbol,Name,LastSale,annualdividend,dividendyield,exdividenddate,dividendpaymentdate
PID,Invesco Exchange-Traded Fund Trust,16.25,1.20492,7.4149,6/24/19,6/28/19
PIE,Invesco Exchange-Traded Fund Trust II,18.12,0.27824,1.5355,6/24/19,6/28/19
PIO,Invesco Exchange-Traded Fund Trust II,28.22,0.91676,3.2486,6/24/19,6/28/19
PIZ,Invesco Exchange-Traded Fund Trust II,27.5981,0.7518,2.7241,6/24/19,6/28/19
PKBK,Parke Bancorp Inc.,23.82,0.64,2.6868,7/11/19,7/26/19
PKOH,Park-Ohio Holdings Corp.,29.5,0.5,1.6949,5/14/19,5/29/19
PKW,Invesco Exchange-Traded Fund Trust,63.71,1.06504,1.6717,6/24/19,6/28/19
PLAY,Dave & Buster's Entertainment Inc.,40.12,0.6,1.4955,6/24/19,7/10/19
PLBC,Plumas Bancorp,24.94,0.46,1.8444,4/30/19,5/15/19
PLCE,Children's Place Inc. (The),91.98,2.24,2.4353,6/17/19,6/28/19
PLPC,Preformed Line Products Company,58.6,0.8,1.3652,6/28/19,7/19/19
PLW,Invesco Exchange-Traded Fund Trust II,33.8401,0.66216,1.9567,7/22/19,7/31/19
PMD,Psychemedics Corporation,8.45,0.72,8.5207,5/6/19,5/17/19
PMOM,Principal Exchange-Traded Funds,28.52,0.432,1.5147,7/1/19,7/5/19
PNBK,Patriot National Bancorp Inc.,14.49,0.04,0.2761,6/3/19,6/11/19
PNFP,Pinnacle Financial Partners Inc.,59.49,0.64,1.0758,5/2/19,5/31/19
PNNT,PennantPark Investment Corporation,6.7,0.72,10.7463,6/14/19,7/1/19
POOL,Pool Corporation,188.26,2.2,1.1686,5/16/19,5/31/19
POWI,Power Integrations Inc.,85.31,0.68,0.7971,5/30/19,6/28/19
POWL,Powell Industries Inc.,37.3,1.04,2.7882,5/21/19,6/19/19
PPBI,Pacific Premier Bancorp Inc,30.18,0.88,2.9158,4/30/19,5/15/19
PPH,VanEck Vectors ETF Trust,56.87,1.124,1.9764,7/1/19,7/8/19
PRFZ,Invesco Exchange-Traded Fund Trust,127.77,2.1094,1.6509,6/24/19,6/28/19
PRGS,Progress Software Corporation,41.77,0.62,1.4843,5/31/19,6/17/19
PRIM,Primoris Services Corporation,20.21,0.24,1.1875,6/27/19,7/15/19
PRN,Invesco Exchange-Traded Fund Trust,68.5185,0.1772,0.2586,6/24/19,6/28/19
PROV,Provident Financial Holdings Inc.,21.02,0.56,2.6641,5/20/19,6/11/19
PSC,Principal Exchange-Traded Funds,30.9853,0.434632,1.4027,7/1/19,7/5/19
PSCC,Invesco Exchange-Traded Fund Trust II,72.06,1.52836,2.121,6/24/19,6/28/19
PSCD,Invesco Exchange-Traded Fund Trust II,58.97,0.69376,1.1765,6/24/19,6/28/19
PSCF,Invesco Exchange-Traded Fund Trust II,53.4914,1.974,3.6903,6/24/19,6/28/19
PSCI,Invesco Exchange-Traded Fund Trust II,66.6671,0.41392,0.6209,6/24/19,6/28/19
PSCM,Invesco Exchange-Traded Fund Trust II,44.8885,0.46396,1.0336,6/24/19,6/28/19
PSCT,Invesco Exchange-Traded Fund Trust II,84.57,0.27228,0.322,6/24/19,6/28/19
PSCU,Invesco Exchange-Traded Fund Trust II,52.6493,1.21732,2.3121,6/24/19,6/28/19
PSDO,Presidio Inc.,13.83,0.16,1.1569,6/25/19,7/5/19
PSEC,Prospect Capital Corporation,6.68,0.72,10.7784,6/27/19,7/18/19
PSET,Principal Exchange-Traded Funds,38.76,0.628,1.6202,7/1/19,7/5/19
PSL,Invesco Exchange-Traded Fund Trust,73.8335,0.3372,0.4567,6/24/19,6/28/19
PTEN,Patterson-UTI Energy Inc.,11.3,0.16,1.4159,6/5/19,6/20/19
PTMN,Portman Ridge Finance Corporation,2.34,0.4,17.094,4/4/19,4/26/19
PUB,People's Utah Bancorp,28.76,0.48,1.669,5/3/19,5/13/19
PUI,Invesco Exchange-Traded Fund Trust,32.68,0.87684,2.6831,6/24/19,6/28/19
PVAL,Principal Exchange-Traded Funds,26.64,0.378668,1.4214,7/1/19,7/5/19
PWOD,Penns Woods Bancorp Inc.,45.77,1.88,4.1075,6/10/19,6/25/19
PXI,Invesco Exchange-Traded Fund Trust,28.69,0.96028,3.3471,6/24/19,6/28/19
PY,Principal Exchange-Traded Funds,32.4255,0.682668,2.1053,7/1/19,7/5/19
PYZ,Invesco Exchange-Traded Fund Trust,60.305,1.27696,2.1175,6/24/19,6/28/19
QABA,First Trust Exchange-Traded Fund,47.71,0.8896,1.8646,6/14/19,6/28/19
QADA,QAD Inc.,43.15,0.288,0.6674,7/9/19,7/17/19
